train/loss,l1,l2,epoch,step,val/loss,val/error_u,val/loss_best
4169.93798828125,0.1309887319803238,-6.4367265701293945,236,236,,,
4161.79931640625,0.13304652273654938,-6.438864707946777,237,237,,,
4153.591796875,0.1351035088300705,-6.440985679626465,238,238,,,
4145.31103515625,0.13715969026088715,-6.443089962005615,239,239,,,
4136.95458984375,0.1392151117324829,-6.4451775550842285,240,240,,,
4128.51904296875,0.14126986265182495,-6.447249889373779,241,241,,,
4120.00439453125,0.14332406222820282,-6.449307918548584,242,242,,,
4111.41357421875,0.14537787437438965,-6.451352596282959,243,243,,,
4102.7490234375,0.14743147790431976,-6.453385353088379,244,244,,,
4094.01708984375,0.14948506653308868,-6.455408096313477,245,245,,,
4085.219970703125,0.15153884887695312,-6.457421779632568,246,246,,,
4076.362548828125,0.1535930186510086,-6.459427833557129,247,247,,,
4067.44677734375,0.15564775466918945,-6.461427688598633,248,248,,,
4058.47265625,0.15770323574543,-6.4634222984313965,249,249,,,
4049.439453125,0.15975959599018097,-6.465412139892578,250,250,,,
4040.34716796875,0.16181693971157074,-6.467398166656494,251,251,,,
4031.19384765625,0.16387532651424408,-6.469380855560303,252,252,,,
4021.97998046875,0.16593480110168457,-6.471360206604004,253,253,,,
4012.70556640625,0.16799534857273102,-6.473336219787598,254,254,,,
4003.3720703125,0.17005693912506104,-6.475309371948242,255,255,,,
3993.980712890625,0.17211951315402985,-6.477278709411621,256,256,,,
3984.5341796875,0.1741829812526703,-6.479244709014893,257,257,,,
3975.03173828125,0.1762472540140152,-6.481207370758057,258,258,,,
3965.474853515625,0.17831222712993622,-6.483166217803955,259,259,,,
3955.86376953125,0.1803778111934662,-6.485121726989746,260,260,,,
3946.197998046875,0.18244390189647675,-6.487074375152588,261,261,,,
3936.47802734375,0.18451042473316193,-6.4890241622924805,262,262,,,
3926.70458984375,0.18657730519771576,-6.490971088409424,263,263,,,
3916.87890625,0.18864446878433228,-6.492916107177734,264,264,,,
3907.00244140625,0.1907118558883667,-6.49485969543457,265,265,,,
3897.07666015625,0.19277939200401306,-6.496801853179932,266,266,,,
3887.104248046875,0.1948470175266266,-6.498743057250977,267,267,,,
3877.08642578125,0.1969146579504013,-6.500683784484863,268,268,,,
3867.0263671875,0.19898222386837006,-6.502624034881592,269,269,,,
3856.926513671875,0.2010495960712433,-6.504563808441162,270,270,,,
3846.79052734375,0.20311667025089264,-6.506503582000732,271,271,,,
3836.62158203125,0.20518331229686737,-6.5084428787231445,272,272,,,
3826.423583984375,0.20724938809871674,-6.510382175445557,273,273,,,
3816.201171875,0.2093147337436676,-6.5123209953308105,274,274,,,
3805.95947265625,0.21137920022010803,-6.514259338378906,275,275,,,
3795.701904296875,0.2134426385164261,-6.516197681427002,276,276,,,
3785.433349609375,0.21550486981868744,-6.5181355476379395,277,277,,,
3775.158203125,0.21756576001644135,-6.520073413848877,278,278,,,
3764.87939453125,0.21962514519691467,-6.522011756896973,279,279,,,
3754.60205078125,0.22168289124965668,-6.523950576782227,280,280,,,
3744.328125,0.2237388640642166,-6.525889873504639,281,281,,,
3734.060791015625,0.22579292953014374,-6.527830600738525,282,282,,,
3723.80224609375,0.2278449684381485,-6.529772758483887,283,283,,,
3713.555419921875,0.22989486157894135,-6.531716823577881,284,284,,,
3703.321533203125,0.23194248974323273,-6.533663272857666,285,285,,,
3693.10302734375,0.2339877337217331,-6.535612106323242,286,286,,,
3682.901123046875,0.2360304743051529,-6.537563800811768,287,287,,,
3672.7177734375,0.23807057738304138,-6.5395188331604,288,288,,,
3662.554931640625,0.240107923746109,-6.541477203369141,289,289,,,
3652.41357421875,0.24214236438274384,-6.543438911437988,290,290,,,
3642.29443359375,0.24417376518249512,-6.545404434204102,291,291,,,
3632.19970703125,0.2462019920349121,-6.5473737716674805,292,292,,,
3622.12841796875,0.24822688102722168,-6.549347400665283,293,293,,,
3612.082275390625,0.2502482831478119,-6.551324844360352,294,294,,,
3602.060546875,0.2522660195827484,-6.553306579589844,295,295,,,
3592.0625,0.2542799711227417,-6.55529260635376,296,296,,,
3582.087890625,0.2562899589538574,-6.557282447814941,297,297,,,
3572.13525390625,0.25829583406448364,-6.559276580810547,298,298,,,
3562.201904296875,0.2602974772453308,-6.561274528503418,299,299,,,
3552.2861328125,0.2622947692871094,-6.563276290893555,300,300,,,
3542.38525390625,0.2642876207828522,-6.565281867980957,301,301,,,
3532.494140625,0.26627591252326965,-6.567290782928467,302,302,,,
3522.6103515625,0.26825958490371704,-6.569303035736084,303,303,,,
3512.72900390625,0.27023857831954956,-6.571318626403809,304,304,,,
3502.84619140625,0.27221283316612244,-6.573337078094482,305,305,,,
3492.95751953125,0.27418234944343567,-6.575357913970947,306,306,,,
3483.05859375,0.27614712715148926,-6.577381134033203,307,307,,,
3473.1474609375,0.2781071364879608,-6.579406261444092,308,308,,,
3463.2216796875,0.28006240725517273,-6.581432819366455,309,309,,,
3453.281494140625,0.2820129096508026,-6.583460807800293,310,310,,,
3443.3291015625,0.28395867347717285,-6.585489273071289,311,311,,,
3433.369140625,0.28589963912963867,-6.587517738342285,312,312,,,
3423.40771484375,0.2878357768058777,-6.589545249938965,313,313,,,
3413.45263671875,0.28976699709892273,-6.591571807861328,314,314,,,
3403.512451171875,0.29169321060180664,-6.5935959815979,315,315,,,
3393.5947265625,0.2936142385005951,-6.595617294311523,316,316,,,
3383.705322265625,0.29552993178367615,-6.597634792327881,317,317,,,
3373.84619140625,0.2974400520324707,-6.5996479988098145,318,318,,,
3364.017822265625,0.29934439063072205,-6.601655960083008,319,319,,,
3354.216796875,0.3012427091598511,-6.6036577224731445,320,320,,,
3344.437744140625,0.3031347692012787,-6.605652332305908,321,321,,,
3334.675537109375,0.30502036213874817,-6.607639312744141,322,322,,,
3324.9248046875,0.3068993091583252,-6.609618186950684,323,323,,,
3315.183349609375,0.3087714910507202,-6.611588478088379,324,324,,,
3305.45068359375,0.3106367588043213,-6.61354923248291,325,325,,,
3295.730712890625,0.31249508261680603,-6.615500450134277,326,326,,,
3286.02685546875,0.31434646248817444,-6.617441654205322,327,327,,,
3276.345947265625,0.3161909282207489,-6.619372367858887,328,328,,,
3266.6923828125,0.3180285394191742,-6.6212921142578125,329,329,,,
3257.071044921875,0.3198593854904175,-6.623200416564941,330,330,,,
3247.48486328125,0.3216836154460907,-6.625097274780273,331,331,,,
3237.93505859375,0.323501318693161,-6.626981735229492,332,332,,,
3228.421875,0.3253125846385956,-6.628853797912598,333,333,,,
3218.945068359375,0.3271175026893616,-6.630712985992432,334,334,,,
3209.50390625,0.32891610264778137,-6.632558822631836,335,335,,,
3200.09765625,0.330708384513855,-6.634390830993652,336,336,,,
3190.7236328125,0.33249431848526,-6.636208534240723,337,337,,,
3181.37890625,0.3342737853527069,-6.638011455535889,338,338,,,
3172.0556640625,0.3360466957092285,-6.63979959487915,339,339,,,
3162.744140625,0.3378129005432129,-6.64157247543335,340,340,,,
3153.431396484375,0.3395722508430481,-6.643329620361328,341,341,,,
3144.1015625,0.3413246273994446,-6.645070552825928,342,342,,,
3134.738525390625,0.3430698812007904,-6.646795272827148,343,343,,,
3125.32763671875,0.34480786323547363,-6.64850378036499,344,344,,,
3115.8564453125,0.3465384840965271,-6.650195121765137,345,345,,,
3106.31884765625,0.34826162457466125,-6.651869297027588,346,346,,,
3096.7109375,0.34997713565826416,-6.653526306152344,347,347,,,
3087.03857421875,0.3516848385334015,-6.655165195465088,348,348,,,
3077.310791015625,0.35338449478149414,-6.656785011291504,349,349,,,
3067.541015625,0.35507577657699585,-6.658385753631592,350,350,,,
3057.74072265625,0.35675832629203796,-6.659965991973877,351,351,,,
3047.92041015625,0.35843169689178467,-6.661525726318359,352,352,,,
3038.0830078125,0.36009544134140015,-6.663064002990723,353,353,,,
3028.2294921875,0.3617490828037262,-6.664580821990967,354,354,,,
3018.3583984375,0.3633921444416046,-6.666075706481934,355,355,,,
3008.47412109375,0.365024209022522,-6.667548656463623,356,356,,,
2998.58056640625,0.36664482951164246,-6.669000148773193,357,357,,,
2988.681884765625,0.3682536482810974,-6.6704301834106445,358,358,,,
